usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,cpu_utilization,storage_efficiency,region_East US,region_North Europe,region_Southeast Asia,region_West US,resource_type_Container,resource_type_Storage,resource_type_VM,year,month,day,day_of_week,quarter,week_of_year,is_month_start,is_month_end,is_weekend
88,1959,470,104.97,0.99,1,0.8888888888888888,0.9824473420260782,1,0,0,0,0,0,1,2023,1,1,6,1,52,1,0,1
77,1199,470,104.97,0.99,1,0.7777777777777778,0.6010025062656642,0,0,1,0,1,0,0,2023,1,1,6,1,52,1,0,1
76,1582,369,104.97,0.99,1,0.7676767676767676,0.7941767068273092,0,0,1,0,0,1,0,2023,1,1,6,1,52,1,0,1
93,1356,248,104.97,0.99,1,0.9393939393939394,0.6800401203610833,0,0,1,0,0,0,1,2023,1,1,6,1,52,1,0,1
51,1715,476,104.97,0.99,1,0.5151515151515151,0.8609437751004017,0,1,0,0,0,1,0,2023,1,1,6,1,52,1,0,1
73,1937,493,104.97,0.99,1,0.7373737373737373,0.9714142427281846,0,1,0,0,0,0,1,2023,1,1,6,1,52,1,0,1
82,959,221,104.97,0.99,1,0.8282828282828283,0.4807017543859649,0,1,0,0,1,0,0,2023,1,1,6,1,52,1,0,1
85,1371,351,104.97,0.99,1,0.8585858585858586,0.6882530120481928,0,0,0,1,0,1,0,2023,1,1,6,1,52,1,0,1
60,1982,287,104.97,0.99,1,0.6060606060606061,0.9939819458375125,0,0,0,1,0,0,1,2023,1,1,6,1,52,1,0,1
70,621,414,104.97,0.99,1,0.7070707070707071,0.3112781954887218,1,0,0,0,1,0,0,2023,1,1,6,1,52,1,0,1
92,1595,388,104.97,0.99,1,0.9292929292929293,0.8007028112449799,1,0,0,0,0,1,0,2023,1,1,6,1,52,1,0,1
52,1832,457,104.97,0.99,1,0.5252525252525253,0.9182957393483709,0,0,0,1,1,0,0,2023,1,1,6,1,52,1,0,1
96,1455,463,106.48,1.15,0,0.9696969696969697,0.7304216867469879,0,1,0,0,0,1,0,2023,1,2,0,1,1,0,0,0
53,1202,417,106.48,1.15,0,0.5353535353535354,0.6025062656641604,0,0,1,0,1,0,0,2023,1,2,0,1,1,0,0,0
55,1065,305,106.48,1.15,0,0.5555555555555556,0.5346385542168675,0,0,1,0,0,1,0,2023,1,2,0,1,1,0,0,0
66,1911,201,106.48,1.15,0,0.6666666666666666,0.9583751253761283,0,0,1,0,0,0,1,2023,1,2,0,1,1,0,0,0
96,534,405,106.48,1.15,0,0.9696969696969697,0.26766917293233083,0,1,0,0,1,0,0,2023,1,2,0,1,1,0,0,0
51,1863,291,106.48,1.15,0,0.5151515151515151,0.9343029087261785,0,1,0,0,0,0,1,2023,1,2,0,1,1,0,0,0
86,1146,220,106.48,1.15,0,0.8686868686868687,0.5744360902255639,1,0,0,0,1,0,0,2023,1,2,0,1,1,0,0,0
53,1100,213,106.48,1.15,0,0.5353535353535354,0.5522088353413654,0,0,0,1,0,1,0,2023,1,2,0,1,1,0,0,0
58,666,473,106.48,1.15,0,0.5858585858585859,0.3340020060180542,0,0,0,1,0,0,1,2023,1,2,0,1,1,0,0,0
93,1767,330,106.48,1.15,0,0.9393939393939394,0.8870481927710844,1,0,0,0,0,1,0,2023,1,2,0,1,1,0,0,0
96,1457,250,106.48,1.15,0,0.9696969696969697,0.730692076228686,1,0,0,0,0,0,1,2023,1,2,0,1,1,0,0,0
99,1276,252,106.48,1.15,0,1.0,0.6395989974937344,0,0,0,1,1,0,0,2023,1,2,0,1,1,0,0,0
64,564,208,97.66,0.98,0,0.6464646464646465,0.28313253012048195,0,1,0,0,0,1,0,2023,1,3,1,1,1,0,0,0
84,788,460,97.66,0.98,0,0.8484848484848485,0.3949874686716792,0,0,1,0,1,0,0,2023,1,3,1,1,1,0,0,0
66,891,362,97.66,0.98,0,0.6666666666666666,0.44728915662650603,0,0,1,0,0,1,0,2023,1,3,1,1,1,0,0,0
73,1586,338,97.66,0.98,0,0.7373737373737373,0.7953861584754263,0,0,1,0,0,0,1,2023,1,3,1,1,1,0,0,0
94,1564,356,97.66,0.98,0,0.9494949494949495,0.7843530591775326,0,1,0,0,0,0,1,2023,1,3,1,1,1,0,0,0
73,1652,335,97.66,0.98,0,0.7373737373737373,0.8280701754385965,0,1,0,0,1,0,0,2023,1,3,1,1,1,0,0,0
67,1378,252,97.66,0.98,0,0.6767676767676768,0.6917670682730924,0,0,0,1,0,1,0,2023,1,3,1,1,1,0,0,0
89,1219,436,97.66,0.98,0,0.898989898989899,0.6113340020060181,0,0,0,1,0,0,1,2023,1,3,1,1,1,0,0,0
73,716,451,97.66,0.98,0,0.7373737373737373,0.35889724310776944,0,0,0,1,1,0,0,2023,1,3,1,1,1,0,0,0
57,1985,414,97.66,0.98,0,0.5757575757575758,0.9949874686716792,1,0,0,0,1,0,0,2023,1,3,1,1,1,0,0,0
85,769,470,97.66,0.98,0,0.8585858585858586,0.38604417670682734,1,0,0,0,0,1,0,2023,1,3,1,1,1,0,0,0
93,661,401,97.66,0.98,0,0.9393939393939394,0.33149448345035104,1,0,0,0,0,0,1,2023,1,3,1,1,1,0,0,0
75,1391,378,115.79,1.08,0,0.7575757575757576,0.6982931726907631,0,0,1,0,0,1,0,2023,1,4,2,1,1,0,0,0
58,706,214,115.79,1.08,0,0.5858585858585859,0.354062186559679,0,0,1,0,0,0,1,2023,1,4,2,1,1,0,0,0
63,1370,482,115.79,1.08,0,0.6363636363636364,0.6867167919799498,0,1,0,0,1,0,0,2023,1,4,2,1,1,0,0,0
50,1528,417,115.79,1.08,0,0.5050505050505051,0.7670682730923695,0,1,0,0,0,1,0,2023,1,4,2,1,1,0,0,0
50,1112,330,115.79,1.08,0,0.5050505050505051,0.5576730190571715,0,1,0,0,0,0,1,2023,1,4,2,1,1,0,0,0
81,1242,440,115.79,1.08,0,0.8181818181818182,0.6225563909774436,0,0,1,0,1,0,0,2023,1,4,2,1,1,0,0,0
73,1304,298,115.79,1.08,0,0.7373737373737373,0.6546184738955824,0,0,0,1,0,1,0,2023,1,4,2,1,1,0,0,0
97,1002,261,115.79,1.08,0,0.9797979797979798,0.5025075225677031,0,0,0,1,0,0,1,2023,1,4,2,1,1,0,0,0
57,1279,232,115.79,1.08,0,0.5757575757575758,0.6411027568922306,1,0,0,0,1,0,0,2023,1,4,2,1,1,0,0,0
77,634,400,115.79,1.08,0,0.7777777777777778,0.31827309236947793,1,0,0,0,0,1,0,2023,1,4,2,1,1,0,0,0
91,730,240,115.79,1.08,0,0.9191919191919192,0.36609829488465395,1,0,0,0,0,0,1,2023,1,4,2,1,1,0,0,0
93,1225,234,115.79,1.08,0,0.9393939393939394,0.6140350877192983,0,0,0,1,1,0,0,2023,1,4,2,1,1,0,0,0
57,1934,336,95.31,1.05,0,0.5757575757575758,0.9694235588972431,0,0,1,0,1,0,0,2023,1,5,3,1,1,0,0,0
62,1782,397,95.31,1.05,0,0.6262626262626263,0.8945783132530121,0,0,1,0,0,1,0,2023,1,5,3,1,1,0,0,0
82,1908,482,95.31,1.05,0,0.8282828282828283,0.9568706118355065,0,0,1,0,0,0,1,2023,1,5,3,1,1,0,0,0
60,1871,430,95.31,1.05,0,0.6060606060606061,0.937844611528822,0,1,0,0,1,0,0,2023,1,5,3,1,1,0,0,0
93,1863,485,95.31,1.05,0,0.9393939393939394,0.9352409638554217,0,1,0,0,0,1,0,2023,1,5,3,1,1,0,0,0
77,1551,307,95.31,1.05,0,0.7777777777777778,0.7778335005015045,0,1,0,0,0,0,1,2023,1,5,3,1,1,0,0,0
94,1512,333,95.31,1.05,0,0.9494949494949495,0.7578947368421053,0,0,0,1,1,0,0,2023,1,5,3,1,1,0,0,0
56,1766,285,95.31,1.05,0,0.5656565656565656,0.8856569709127382,0,0,0,1,0,0,1,2023,1,5,3,1,1,0,0,0
85,1024,359,95.31,1.05,0,0.8585858585858586,0.5132832080200501,1,0,0,0,1,0,0,2023,1,5,3,1,1,0,0,0
94,1694,228,95.31,1.05,0,0.9494949494949495,0.8504016064257028,1,0,0,0,0,1,0,2023,1,5,3,1,1,0,0,0
81,984,430,95.31,1.05,0,0.8181818181818182,0.4934804413239719,1,0,0,0,0,0,1,2023,1,5,3,1,1,0,0,0
77,1077,369,95.31,1.05,0,0.7777777777777778,0.5406626506024096,0,0,0,1,0,1,0,2023,1,5,3,1,1,0,0,0
77,1354,423,95.37,0.95,0,0.7777777777777778,0.679718875502008,0,1,0,0,0,1,0,2023,1,6,4,1,1,0,0,0
53,1962,402,95.37,0.95,0,0.5353535353535354,0.9834586466165414,0,0,1,0,1,0,0,2023,1,6,4,1,1,0,0,0
75,1939,446,95.37,0.95,0,0.7575757575757576,0.9733935742971888,0,0,1,0,0,1,0,2023,1,6,4,1,1,0,0,0
51,1576,371,95.37,0.95,0,0.5151515151515151,0.7903711133400201,0,0,1,0,0,0,1,2023,1,6,4,1,1,0,0,0
98,501,329,95.37,0.95,0,0.98989898989899,0.2512537612838516,0,1,0,0,0,0,1,2023,1,6,4,1,1,0,0,0
82,884,325,95.37,0.95,0,0.8282828282828283,0.4431077694235589,0,1,0,0,1,0,0,2023,1,6,4,1,1,0,0,0
61,1909,312,95.37,0.95,0,0.6161616161616161,0.9583333333333334,0,0,0,1,0,1,0,2023,1,6,4,1,1,0,0,0
86,1748,433,95.37,0.95,0,0.8686868686868687,0.876629889669007,1,0,0,0,0,0,1,2023,1,6,4,1,1,0,0,0
93,1163,359,95.37,0.95,0,0.9393939393939394,0.5838353413654619,1,0,0,0,0,1,0,2023,1,6,4,1,1,0,0,0
86,1451,280,95.37,0.95,0,0.8686868686868687,0.7273182957393484,0,0,0,1,1,0,0,2023,1,6,4,1,1,0,0,0
98,941,251,95.37,0.95,0,0.98989898989899,0.4719157472417252,0,0,0,1,0,0,1,2023,1,6,4,1,1,0,0,0
81,1995,432,95.37,0.95,0,0.8181818181818182,1.0,1,0,0,0,1,0,0,2023,1,6,4,1,1,0,0,0
56,643,311,102.42,0.81,1,0.5656565656565656,0.3223057644110276,0,0,1,0,1,0,0,2023,1,7,5,1,1,0,0,1
80,1821,298,102.42,0.81,1,0.8080808080808081,0.9141566265060241,0,0,1,0,0,1,0,2023,1,7,5,1,1,0,0,1
60,972,350,102.42,0.81,1,0.6060606060606061,0.48746238716148443,0,0,1,0,0,0,1,2023,1,7,5,1,1,0,0,1
88,837,328,102.42,0.81,1,0.8888888888888888,0.4195488721804511,0,1,0,0,1,0,0,2023,1,7,5,1,1,0,0,1
69,1363,398,102.42,0.81,1,0.696969696969697,0.6835506519558676,0,1,0,0,0,0,1,2023,1,7,5,1,1,0,0,1
90,1428,327,102.42,0.81,1,0.9090909090909091,0.7168674698795181,0,1,0,0,0,1,0,2023,1,7,5,1,1,0,0,1
55,963,458,102.42,0.81,1,0.5555555555555556,0.48343373493975905,0,0,0,1,0,1,0,2023,1,7,5,1,1,0,0,1
65,1108,400,102.42,0.81,1,0.6565656565656566,0.555667001003009,0,0,0,1,0,0,1,2023,1,7,5,1,1,0,0,1
55,1481,439,102.42,0.81,1,0.5555555555555556,0.7423558897243108,1,0,0,0,1,0,0,2023,1,7,5,1,1,0,0,1
73,1383,297,102.42,0.81,1,0.7373737373737373,0.6942771084337349,1,0,0,0,0,1,0,2023,1,7,5,1,1,0,0,1
66,1266,493,102.42,0.81,1,0.6666666666666666,0.6349047141424273,1,0,0,0,0,0,1,2023,1,7,5,1,1,0,0,1
69,1263,346,102.42,0.81,1,0.696969696969697,0.6330827067669172,0,0,0,1,1,0,0,2023,1,7,5,1,1,0,0,1
98,1943,303,82.75,0.94,1,0.98989898989899,0.9754016064257028,0,1,0,0,0,1,0,2023,1,8,6,1,1,0,0,1
84,1456,368,82.75,0.94,1,0.8484848484848485,0.7298245614035088,0,0,1,0,1,0,0,2023,1,8,6,1,1,0,0,1
74,1413,393,82.75,0.94,1,0.7474747474747475,0.7093373493975904,0,0,1,0,0,1,0,2023,1,8,6,1,1,0,0,1
