date,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,month,quarter,weekofyear,is_weekend,usage_cpu_lag1,usage_cpu_lag7,users_active_lag1,users_active_lag7,usage_cpu_roll7,users_active_roll7,region_North Europe,region_Southeast Asia,region_West US,resource_type_Storage,resource_type_VM
2023-01-03,85,769,470,97.66,0.98,0,1,1,1,False,57.0,88.0,414.0,470.0,82.71428571428571,355.14285714285717,False,False,False,True,False
2023-01-03,93,661,401,97.66,0.98,0,1,1,1,False,85.0,70.0,470.0,414.0,86.0,353.2857142857143,False,False,False,False,True
2023-01-04,57,1279,232,115.79,1.08,0,1,1,1,False,93.0,92.0,401.0,388.0,81.0,331.0,False,False,False,False,False
2023-01-04,77,634,400,115.79,1.08,0,1,1,1,False,57.0,86.0,232.0,220.0,79.71428571428571,356.7142857142857,False,False,False,True,False
2023-01-04,91,730,240,115.79,1.08,0,1,1,1,False,77.0,93.0,400.0,330.0,79.42857142857143,343.85714285714283,False,False,False,False,True
2023-01-05,85,1024,359,95.31,1.05,0,1,1,1,False,91.0,96.0,240.0,250.0,77.85714285714286,359.42857142857144,False,False,False,False,False
2023-01-05,94,1694,228,95.31,1.05,0,1,1,1,False,85.0,57.0,359.0,414.0,83.14285714285714,332.85714285714283,False,False,False,True,False
2023-01-05,81,984,430,95.31,1.05,0,1,1,1,False,94.0,85.0,228.0,470.0,82.57142857142857,327.14285714285717,False,False,False,False,True
2023-01-06,86,1748,433,95.37,0.95,0,1,1,1,False,81.0,93.0,430.0,401.0,81.57142857142857,331.7142857142857,False,False,False,False,True
2023-01-06,93,1163,359,95.37,0.95,0,1,1,1,False,86.0,57.0,433.0,232.0,86.71428571428571,349.85714285714283,False,False,False,True,False
2023-01-06,81,1995,432,95.37,0.95,0,1,1,1,False,93.0,77.0,359.0,400.0,87.28571428571429,354.42857142857144,False,False,False,False,False
2023-01-07,55,1481,439,102.42,0.81,1,1,1,1,True,81.0,91.0,432.0,240.0,82.14285714285714,382.85714285714283,False,False,False,False,False
2023-01-07,73,1383,297,102.42,0.81,1,1,1,1,True,55.0,85.0,439.0,359.0,80.42857142857143,374.0,False,False,False,True,False
2023-01-07,66,1266,493,102.42,0.81,1,1,1,1,True,73.0,94.0,297.0,228.0,76.42857142857143,411.85714285714283,False,False,False,False,True
2023-01-08,61,952,236,82.75,0.94,1,1,1,1,True,66.0,81.0,493.0,430.0,73.57142857142857,384.14285714285717,False,False,False,True,False
2023-01-08,81,1514,208,82.75,0.94,1,1,1,1,True,61.0,86.0,236.0,433.0,72.85714285714286,352.0,False,False,False,False,False
2023-01-08,98,501,453,82.75,0.94,1,1,1,1,True,81.0,93.0,208.0,359.0,73.57142857142857,365.42857142857144,False,False,False,False,True
2023-01-09,97,1915,334,89.87,1.03,0,1,1,2,False,98.0,81.0,453.0,432.0,75.85714285714286,351.42857142857144,False,False,False,False,False
2023-01-09,82,897,476,89.87,1.03,0,1,1,2,False,97.0,55.0,334.0,439.0,"            ",356.7142857142857,False,False,False,True,False
2023-01-09,85,660,267,89.87,1.03,0,1,1,2,False,82.0,73.0,476.0,297.0,81.42857142857143,352.42857142857144,False,False,False,False,True
2023-01-10,86,779,380,90.92,0.86,0,1,1,2,False,85.0,66.0,267.0,493.0,84.28571428571429,336.2857142857143,False,False,False,False,False
2023-01-10,55,598,432,90.92,0.86,0,1,1,2,False,86.0,61.0,380.0,236.0,83.42857142857143,364.2857142857143,False,False,False,True,False
2023-01-10,77,657,245,90.92,0.86,0,1,1,2,False,55.0,81.0,432.0,208.0,82.85714285714286,369.57142857142856,False,False,False,False,True
