date,region,resource_type,usage_cpu,usage_storage,users_active
2023-01-01,East US,VM,88,1959,470
2023-01-01,East US,Storage,92,1595,388
2023-01-01,East US,Container,70,621,414
2023-01-01,West US,VM,60,1982,287
2023-01-01,West US,Storage,85,1371,351
2023-01-01,West US,Container,52,1832,457
2023-01-01,North Europe,VM,73,1937,493
2023-01-01,North Europe,Storage,51,1715,476
2023-01-01,North Europe,Container,82,959,221
2023-01-01,Southeast Asia,VM,93,1356,248
2023-01-01,Southeast Asia,Storage,76,1582,369
2023-01-01,Southeast Asia,Container,77,1199,470
2023-01-02,East US,VM,96,1457,250
2023-01-02,East US,Storage,93,1767,330
2023-01-02,East US,Container,86,1146,220
2023-01-02,West US,VM,58,666,473
2023-01-02,West US,Storage,53,1100,213
2023-01-02,West US,Container,99,1276,252
2023-01-02,North Europe,VM,51,1863,291
2023-01-02,North Europe,Storage,96,1455,463
2023-01-02,North Europe,Container,96,534,405
2023-01-02,Southeast Asia,VM,66,1911,201
2023-01-02,Southeast Asia,Storage,55,1065,305
2023-01-02,Southeast Asia,Container,53,1202,417
2023-01-03,East US,VM,93,661,401
2023-01-03,East US,Storage,85,769,470
2023-01-03,East US,Container,57,1985,414
2023-01-03,West US,VM,89,1219,436
2023-01-03,West US,Storage,67,1378,252
2023-01-03,West US,Container,73,716,451
2023-01-03,North Europe,VM,94,1564,356
2023-01-03,North Europe,Storage,64,564,208
2023-01-03,North Europe,Container,73,1652,335
2023-01-03,Southeast Asia,VM,73,1586,338
2023-01-03,Southeast Asia,Storage,66,891,362
2023-01-03,Southeast Asia,Container,84,788,460
2023-01-04,East US,VM,91,730,240
2023-01-04,East US,Storage,77,634,400
2023-01-04,East US,Container,57,1279,232
2023-01-04,West US,VM,97,1002,261
2023-01-04,West US,Storage,73,1304,298
2023-01-04,West US,Container,93,1225,234
2023-01-04,North Europe,VM,50,1112,330
2023-01-04,North Europe,Storage,50,1528,417
2023-01-04,North Europe,Container,63,1370,482
2023-01-04,Southeast Asia,VM,58,706,214
2023-01-04,Southeast Asia,Storage,75,1391,378
2023-01-04,Southeast Asia,Container,81,1242,440
2023-01-05,East US,VM,81,984,430
2023-01-05,East US,Storage,94,1694,228
2023-01-05,East US,Container,85,1024,359
2023-01-05,West US,VM,56,1766,285
2023-01-05,West US,Storage,77,1077,369
2023-01-05,West US,Container,94,1512,333
2023-01-05,North Europe,VM,77,1551,307
2023-01-05,North Europe,Storage,93,1863,485
2023-01-05,North Europe,Container,60,1871,430
2023-01-05,Southeast Asia,VM,82,1908,482
2023-01-05,Southeast Asia,Storage,62,1782,397
2023-01-05,Southeast Asia,Container,57,1934,336
2023-01-06,East US,VM,86,1748,433
2023-01-06,East US,Storage,93,1163,359
2023-01-06,East US,Container,81,1995,432
2023-01-06,West US,VM,98,941,251
2023-01-06,West US,Storage,61,1909,312
2023-01-06,West US,Container,86,1451,280
2023-01-06,North Europe,VM,98,501,329
2023-01-06,North Europe,Storage,77,1354,423
